P ID,Group,WF,Task,Condition,Repetition,Correct Answer,ParticipantAnswer,Time
P1,G1,WF1,T1,Text,R1,Below,Below,1.47
P1,G1,WF1,T2,Visualization,R1, No, No,4.03
P1,G1,WF1,T3,Text,R1,A little,A little,5.41
P1,G1,WF1,T4,Text,R1,No,Yes,6.28
P1,G1,WF1,T5,Visualization,R1,A lot,A lot,1.08
P1,G1,WF1,T1,Text,R2,Above,Above,2.06
P1,G1,WF1,T2 ,Visualization,R2,Yes,Yes,0.71
P1,G1,WF1,T4,Text,R2,Beginning,Beginning,2.95
P1,G1,WF1,T3,Text,R2,A lot,A lot,3.15
P1,G1,WF1,T2,Visualization,R3,No,No,1.03
P1,G1,WF1,T4,Text,R3,Yes,No,5.45
P1,G1,WF1,T5,Visualization,R2,A little,A little,0.98
P1,G1,WF1,T1,Text,R3,Above,Above,2.12
P1,G1,WF2,T1,visualization,R1,Below,Below,1.45
P1,G1,WF2,T2,Text,R1, No, No,5.53
P1,G1,WF2,T3,Visualization,R1,A little,A little,1.3
P1,G1,WF2,T4,Visualization,R1,No,No,1.48
P1,G1,WF2,T5,Text,R1,A lot,A lot,8.12
P1,G1,WF2,T1,Visualization,R2,Above,Above,0.71
P1,G1,WF2,T2 ,Text,R2,Yes,Yes,1.07
P1,G1,WF2,T4,Visualization,R2,Beginning,Beginning,1.95
P1,G1,WF2,T3,Visualization,R2,A lot,A lot,1.28
P1,G1,WF2,T2,Text,R3,No,No,2.5
P1,G1,WF2,T4,Visualization,R3,Yes,Yes,1.31
P1,G1,WF2,T5,Text,R2,A little,A little,5.94
P1,G1,WF2,T1,Visualization,R3,Above,Above,0.89
P2,G1,WF1,T1,Text,R1,Below,Below,1.55
P2,G1,WF1,T2,Visualization,R1, No, No,3.5
P2,G1,WF1,T3,Text,R1,A little,Somewhat,4.28
P2,G1,WF1,T4,Text,R1,No,No,6.17
P2,G1,WF1,T5,Visualization,R1,A lot,A lot,0.57
P2,G1,WF1,T1,Text,R2,Above,Above,1.55
P2,G1,WF1,T2 ,Visualization,R2,Yes,Yes,0.72
P2,G1,WF1,T4,Text,R2,Beginning,Beginning,2.02
P2,G1,WF1,T3,Text,R2,A lot,A lot,2.9
P2,G1,WF1,T2,Visualization,R3,No,No,1.05
P2,G1,WF1,T4,Text,R3,Yes,Yes,6.22
P2,G1,WF1,T5,Visualization,R2,A little,A little,0.85
P2,G1,WF1,T1,Text,R3,Above,Above,1.95
P2,G1,WF2,T1,visualization,R1,Below,Below,1.72
P2,G1,WF2,T2,Text,R1, No, No,5.4
P2,G1,WF2,T3,Visualization,R1,A little,A little,1.2
P2,G1,WF2,T4,Visualization,R1,No,No,1.37
P2,G1,WF2,T5,Text,R1,A lot,A lot,8.01
P2,G1,WF2,T1,Visualization,R2,Above,Above,0.7
P2,G1,WF2,T2 ,Text,R2,Yes,Yes,2.57
P2,G1,WF2,T4,Visualization,R2,Beginning,Beginning,2.37
